Unnamed: 0,power_chiller,Energy_2,flow_chiller,Energy_1,t_out,t_chiller,Energy_3,Equip,light,temperature:drybulb,occ,Energy_4,energy_total
3461,252727.06,1049879.6,168.07915,102412.016,23.3,12.0,110861.26,0.31041616,0.039140865,24.234697,0.0,0.0,1263152.8760000002
3462,262468.8,1060164.8,168.07915,103494.66,23.3,12.0,110960.125,0.31041616,0.039140865,24.34837,0.0,89545.74,1364165.325
3463,262299.28,1061187.6,168.07915,103432.1,23.3,12.0,111089.555,0.31041616,0.039140865,23.17511,0.0,66679.76,1342389.0150000001
3464,39521.164,0.0,168.07915,0.0,23.3,12.0,0.0,0.31041616,0.039140865,23.152945,0.0,65975.195,65975.195
3465,261034.06,1063183.9,168.07915,103665.78,23.3,12.0,111880.71,0.31041616,0.039140865,23.041048,0.0,65841.586,1344571.9759999998
3466,262432.16,1062722.9,168.07915,103656.76,23.3,12.0,111716.93,0.31041616,0.039140865,22.985228,0.0,65801.46,1343898.0499999998
3467,269187.84,1109062.5,168.07915,108276.266,23.3,12.0,114305.26,0.31041616,0.039140865,22.929674,0.0,65802.8,1397446.8260000001
3468,253947.05,1062611.6,168.07915,103686.195,23.3,12.0,111523.77,0.31041616,0.039140865,23.581278,0.0,0.0,1277821.5650000002
3469,253972.34,1064507.5,168.07915,103687.87,23.3,12.0,111320.56,0.31041616,0.039140865,24.386526,0.0,0.0,1279515.9300000002
3470,262699.66,1064219.0,168.07915,103637.48,23.3,12.0,111237.59,0.31041616,0.039140865,23.650616,0.0,67451.13,1346545.2000000002
3471,39639.766,0.0,168.07915,0.0,23.3,12.0,0.0,0.31041616,0.039140865,23.364685,0.0,66217.43,66217.43
3472,261672.75,1067727.8,168.07915,104160.95,23.3,12.0,111781.95,0.31041616,0.039140865,23.175909,0.0,66024.76,1349695.46
3473,263008.75,1066840.8,168.07915,104106.67,23.3,12.0,111574.484,0.31041616,0.039140865,23.072313,0.0,65968.26,1348490.214
3474,268148.16,1101487.6,168.07915,107441.46,23.3,12.0,111572.16,0.31041616,0.039140865,22.955153,0.0,65857.984,1386359.204
3475,265335.34,1071513.4,168.07915,104406.984,23.3,12.0,111297.29,0.31041616,0.039140865,22.869278,0.0,65749.3,1352966.974
3476,253867.67,1062209.6,168.07915,103740.766,23.3,12.0,111006.26,0.31041616,0.039140865,23.528793,0.0,0.0,1276956.6260000002
3477,253452.47,1060289.4,168.07915,103565.06,23.3,12.0,110631.15,0.31041616,0.039140865,24.336655,0.0,0.0,1274485.6099999999
3478,40161.613,0.0,168.07915,0.0,23.3,12.0,0.0,0.31041616,0.039140865,23.55837,0.0,66816.984,66816.984
3479,262163.75,1065266.9,168.07915,103876.375,23.3,12.0,111049.484,0.31041616,0.039140865,22.934181,0.0,65718.23,1345910.9889999998
3480,262530.94,1066492.5,168.07915,104020.87,23.3,12.0,111119.73,0.31041616,0.039140865,22.986721,0.0,65622.54,1347255.6400000001
3481,265736.22,1085199.1,168.07915,105959.69,23.3,12.0,111308.09,0.31041616,0.039140865,22.995825,0.0,65226.145,1367693.0250000001
3482,265202.72,1080216.2,168.07915,104995.41,23.3,12.0,111093.62,0.31041616,0.039140865,22.903429,0.0,65019.184,1361324.4139999999
3483,262557.25,1060228.0,168.07915,103509.58,23.3,12.0,110618.02,0.31041616,0.039140865,22.817432,0.0,64385.164,1338740.7640000002
3484,250564.92,1048241.94,168.07915,102393.664,23.3,12.0,109187.766,0.31041616,0.039140865,23.477228,0.0,0.0,1259823.37
3485,0.0,0.0,0.0,0.0,23.3,13.844584,0.0,0.31041616,0.039140865,24.285736,0.0,0.0,0.0
3486,254370.84,1049720.1,168.07915,102434.75,23.3,12.0,109159.64,0.31041616,0.039140865,24.370506,0.0,0.0,1261314.49
3487,257639.12,1047752.8,168.07915,102276.44,23.3,12.0,109057.2,0.31041616,0.039140865,23.633904,0.0,65110.87,1324197.31
3488,257030.2,1044600.1,168.07915,101989.72,23.3,12.0,108746.56,0.31041616,0.039140865,22.97251,0.0,63869.19,1319205.57
3489,258751.97,1043041.56,168.07915,101844.42,23.3,12.0,108570.2,0.31041616,0.039140865,22.728163,0.0,63741.965,1317198.145
3490,258532.55,1040541.5,168.07915,101611.77,23.3,12.0,108351.19,0.31041616,0.039140865,22.729647,0.0,63416.11,1313920.57
3491,258010.9,1036446.1,168.07915,101226.91,23.3,12.0,107978.984,0.31041616,0.039140865,22.768559,0.0,63389.21,1309041.204
3492,262568.8,1098443.8,168.07915,106087.24,23.3,12.0,107766.35,0.41388822,0.07828173,22.864973,0.05081267,63674.062,1375971.452
3493,260404.12,1066110.5,168.07915,103602.266,23.3,12.0,107713.79,0.41388822,0.07828173,22.965965,0.05081267,63924.203,1341350.759
3494,259184.84,1055534.4,168.07915,102803.2,23.3,12.0,106814.79,0.41388822,0.07828173,22.98211,0.05081267,63986.004,1329138.3939999999
3495,259222.66,1049775.8,168.07915,102193.78,23.3,12.0,106380.05,0.41388822,0.07828173,22.977,0.05081267,63990.098,1322339.7280000001
3496,258771.97,1045268.25,168.07915,102419.305,23.3,12.0,106547.57,0.41388822,0.07828173,22.974024,0.05081267,63987.57,1318222.695
3497,259094.2,1049363.0,168.07915,102317.37,23.3,12.0,106985.9,0.41388822,0.07828173,22.974026,0.05081267,63989.234,1322655.504
3498,260408.69,1057156.8,168.07915,103070.8,23.483334,12.0,107977.58,0.41388822,0.07828173,22.97393,0.05081267,64458.348,1332663.5280000002
3499,262452.47,1069295.8,168.07915,104063.5,23.666666,12.0,109450.28,0.41388822,0.07828173,22.972597,0.05081267,64925.266,1347734.8460000001
3500,264582.47,1080948.0,168.07915,105018.74,23.85,12.0,111041.27,0.41388822,0.07828173,22.970533,0.05081267,65388.93,1362396.94
3501,266421.38,1090017.0,168.07915,105754.555,24.033333,12.0,112345.37,0.41388822,0.07828173,22.968428,0.05081267,65850.29,1373967.2149999999
3502,268176.97,1098592.0,168.07915,106458.67,24.216667,12.0,113617.76,0.41388822,0.07828173,22.96655,0.05081267,66310.19,1384978.6199999999
3503,269814.7,1106152.5,168.07915,107114.49,24.4,12.0,114782.586,0.41388822,0.07828173,22.964884,0.05081267,66768.68,1394818.2559999998
3504,282918.9,1203954.8,168.07915,117541.72,24.783333,12.0,124295.91,0.51736027,0.2348452,23.17857,0.05081267,67431.55,1513223.98
3505,289028.12,1233045.8,168.07915,119740.766,25.166666,12.0,127573.19,0.51736027,0.2348452,23.387915,0.05081267,68466.91,1548826.666
3506,291769.0,1243195.6,168.07915,120777.05,25.55,12.0,129339.086,0.51736027,0.2348452,23.489662,0.05081267,69467.29,1562779.026
3507,296231.97,1270027.9,168.07915,123141.08,25.933332,12.0,132430.92,0.51736027,0.2348452,23.511683,0.05081267,70240.05,1595839.95
3508,300499.44,1293112.9,168.07915,125175.016,26.316668,12.0,135535.05,0.51736027,0.2348452,23.5086,0.05081267,70834.46,1624657.426
3509,304432.97,1314049.2,168.07915,127045.234,26.7,12.0,138464.4,0.51736027,0.2348452,23.508715,0.05081267,71349.13,1650907.9639999997
3510,305921.9,1322403.4,168.07915,127777.69,26.883333,12.0,140162.66,0.51736027,0.2348452,23.514475,0.05081267,71021.0,1661364.7499999998
3511,306737.7,1329315.5,168.07915,128399.01,27.066668,12.0,141839.27,0.51736027,0.2348452,23.521032,0.05081267,70677.945,1670231.725
3512,307392.78,1335783.9,168.07915,128991.766,27.25,12.0,143548.42,0.51736027,0.2348452,23.52569,0.05081267,70309.15,1678633.2359999998
3513,306879.7,1333768.5,168.07915,128821.414,27.433332,12.0,144362.53,0.51736027,0.2348452,23.528585,0.05081267,69909.484,1676861.928
3514,305763.1,1328542.8,168.07915,128362.55,27.616667,12.0,144812.8,0.51736027,0.2348452,23.530691,0.05081267,69479.75,1671197.9000000001
3515,304538.0,1323244.2,168.07915,127894.305,27.8,12.0,145191.5,0.51736027,0.2348452,23.532593,0.05081267,69022.27,1665352.275
3516,304656.66,1324228.2,168.07915,128023.734,28.066668,12.0,146121.64,0.51736027,0.2348452,23.535055,0.05081267,69162.086,1667535.66
3517,304908.94,1324305.9,168.07915,128060.914,28.333334,12.0,146829.81,0.51736027,0.2348452,23.538,0.05081267,69281.47,1668478.094
3518,305089.38,1323961.0,168.07915,128054.49,28.6,12.0,147412.84,0.51736027,0.2348452,23.541033,0.05081267,69381.62,1668809.9500000002
3519,305565.88,1326038.5,168.07915,128376.445,28.866667,12.0,148232.98,0.51736027,0.2348452,23.543903,0.05081267,69461.484,1672109.409
3520,306139.8,1328684.2,168.07915,128837.63,29.133333,12.0,149106.16,0.51736027,0.2348452,23.546558,0.05081267,69519.58,1676147.57
3521,307450.03,1337129.6,168.07915,129587.3,29.4,12.0,150719.89,0.51736027,0.2348452,23.549038,0.05081267,69554.7,1686991.49
3522,310064.4,1350006.8,168.07915,130865.34,29.5,12.0,152727.42,0.51736027,0.2348452,23.55208,0.05081267,70261.35,1703860.9100000001
